zipcode,statecode,county,city_town,climate Zone
01603,MA,WORCESTER,WORCESTER,5A
01604,MA,WORCESTER,WORCESTER,5A
01605,MA,WORCESTER,WORCESTER,5A
01606,MA,WORCESTER,WORCESTER,5A
01607,MA,WORCESTER,WORCESTER,5A
01608,MA,WORCESTER,WORCESTER,5A
01609,MA,WORCESTER,WORCESTER,5A
01610,MA,WORCESTER,WORCESTER,5A
01611,MA,WORCESTER,CHERRY VALLEY,5A
01612,MA,WORCESTER,PAXTON,5A
01613,MA,WORCESTER,WORCESTER,5A
01614,MA,WORCESTER,WORCESTER,5A
01615,MA,WORCESTER,WORCESTER,5A
01653,MA,WORCESTER,WORCESTER,5A
01655,MA,WORCESTER,WORCESTER,5A
01701,MA,MIDDLESEX,FRAMINGHAM,5A
01702,MA,MIDDLESEX,FRAMINGHAM,5A
01703,MA,MIDDLESEX,FRAMINGHAM,5A
01704,MA,MIDDLESEX,FRAMINGHAM,5A
01718,MA,MIDDLESEX,VILLAGE OF NAGOG WOODS,5A
01719,MA,MIDDLESEX,BOXBOROUGH,5A
01720,MA,MIDDLESEX,ACTON,5A
01721,MA,MIDDLESEX,ASHLAND,5A
01730,MA,MIDDLESEX,BEDFORD,5A
01731,MA,MIDDLESEX,HANSCOM AFB,5A
01740,MA,WORCESTER,BOLTON,5A
01741,MA,MIDDLESEX,CARLISLE,5A
01742,MA,MIDDLESEX,CONCORD,5A
01745,MA,WORCESTER,FAYVILLE,5A
01746,MA,MIDDLESEX,HOLLISTON,5A
01747,MA,WORCESTER,HOPEDALE,5A
01748,MA,MIDDLESEX,HOPKINTON,5A
01749,MA,MIDDLESEX,HUDSON,5A
01752,MA,MIDDLESEX,MARLBOROUGH,5A
01754,MA,MIDDLESEX,MAYNARD,5A
01756,MA,WORCESTER,MENDON,5A
01757,MA,WORCESTER,MILFORD,5A
01760,MA,MIDDLESEX,NATICK,5A
01770,MA,MIDDLESEX,SHERBORN,5A
01772,MA,WORCESTER,SOUTHBOROUGH,5A
01773,MA,MIDDLESEX,LINCOLN,5A
